Job Title,Company,Experience,Salary,Location,Description,Skills
ITI Technician,Talent Destination,3-5 Yrs,Not disclosed,"Kolkata, West Bengal, Pune, Maharashtra, Chennai, Jaipur, Rajasthan, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","1 Independently carry out tasks related to Plumbing, Electrical Cabling, mechanical job...","Plumbing, ITI Electrical, Electrical Works, ITI, Wiring, Electricals, ITI Electrician"
"B.E,Diploma,PUC and ITI Freshers Production Associate.",Talentways Consultancy Group,0-1 Yrs,1.5-2.5 Lacs PA,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Production Associate Training will be given. Diploma, PUC and ITI freshers Candidates c...","production, assembling, diploma, PUC, ITI"
"openings For mechanical and Aeronautical,Aerospace(0 - 1yrs)",Creative Solutions,0-1 Yrs,3-3.5 Lacs PA,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Knowledge of the principles of system operations, interfaces, tests and troubleshooting...","Aerospace, Aeronautical, Mechanical, mechanical and Aeronautical Aerospace"
Evaluation,Avani Consulting,4-7 Yrs,2.5-3 Lacs PA,"Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Tamil Nadu, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Job Description 1.Minimum ITI in Automobile or Diesel Mechanic 2.Minimum 4-5 Yrs worked...,"car technician, Car Service, Repair, Mechanical, Automobile, Evaluation, ITI, Diesel"
Hiring AV (Audio & Video) Technician To Work in Bahrain,Capital Recruitment Services,4-9 Yrs,6.5-13 Lacs PA,"Kolkata, West Bengal, Bhopal, Madhya Pradesh, Hyderabad/ Secunderabad, Telangana, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Hands-On experience in electronic home appliances such as TV(LED, LCD, OLED, QLED, ), M...","VIDEO, TECHNICIAN, Audio, AUDIO VIDEO TECHNICIAN, AV TECHNICIAN, Audio Codecs, AV, Hiring"
Hiring CAC Technician To Work IN Bahrain,Capital Recruitment Services,5-10 Yrs,4-6.5 Lacs PA,"Kolkata, Bahrain, Hyderabad/Secunderabad, Pune, Ahmedabad(Bopal), Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","Capable of troubleshooting and Maintenance of Package AC, ductable AC, Screw, Scroll Ch...","CAC TECHNICIAN, Ac, CAC, FIELD CAC TECHNICIAN, Field, Hiring"
Assistant General Manager (Line Feed In charge),Stellar Value Chain Solutions,10-14 Yrs,Not disclosed,"Sanand, Gujarat, Pune, Maharashtra, Bangalore/Bengaluru","Role & responsibilities Candidate must be an Engineer by qualification with ""line feed""...","Line Feeding, Vehicle Assembly, Warehouse Operations, 3Pl, Warehouse, Feed, Line, Operations"
Engineer,Talent Destination,0-1 Yrs,Not disclosed,"Indore, Madhya Pradesh, Pune, Maharashtra, Rajsamand, Rajasthan, Ahmedabad, Gujarat, Gurgaon/ Gurugram, Haryana, Bangalore/Bengaluru",1) Must be an engineering graduate 2) Good communications skill 3) Willing to make a ca...,"freshers, Electronics And Communication, Electronics, ECE, Communication skills, Electronics engineering, Mechanical, Engineering"
Civil Site Engineer,Skyline Building And Infrastructure Constructions And Consultants,0-5 Yrs,2.5-5.5 Lacs PA (Including Variable: 20.0%),"Kolkata, Pune, Maharashtra, Bangalore/Bengaluru",Candidates will be given preference from the Institutes.BHADANIS QUANTITY SURVEYING INS...,"Bar Bending Schedule, Civil Engineering, Site Execution, Building Construction, Civil Site Engineering, Contractors, Bar, Bending"
Power Systems Studies Engineer,Tie-ups,8-13 Yrs,Not disclosed,"Kochi/Cochin, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","PSSE must have exp of executing Power System Study activities, Steady State & Transient...","Power System Simulator for Engineering, PSSE, power systems, Relays, PSCAD, Transmission, Engineering, Transmission line"
Smart Plant Foundation Engineer,Swift Strategic Solutions,5-7 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Tamil Nadu, Bangalore/Bengaluru",B E / B Tech -Chemical/ Electronics / Electronics and Communication / Computer Science ...,"Smart Plant Foundation, Foundation, Smartplant, Instruments, Gas, Id, Communication skills, Chemical"
Senior Eng./Technical Lead/ Project Manager - Embedded Hardware Design,Coreel Technologies,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,Experience in system level architecture development would be preferredExperience: 4 to ...,"Hardware Design, Ddr, Board Design, High Speed Board Design, Technical, Embedded Hardware, Analog design, FPGA"
Technical Design Engineer,Sri Shubham Disposables,3-5 Yrs,2.25-2.75 Lacs PA,"Nampally, Telangana, Bangalore Rural, Karnataka, Rajkot, Gujarat",Looking for Technical Design Engineer / Mechanical Design Engineer with experience and ...,"Technical design, Mechanical design, Mechanical, Design engineering, Technical, Mechanical engineering, Design, Technical Design Engineer / Mechanical Design Engineer"
Senior / Principal Engineer - Mechanical (PHE),Mott Macdonald,8-13 Yrs,Not disclosed,"Noida, Uttar Pradesh, Bangalore/ Bengaluru, Karnataka","Greetings form Mott MacDonald, Please find the job description:- Job Description :The s...","Boq Preparation, AutoCAD, MEP, plumbing, Fire Fighting, Phe, REVIT, Mechanical engineering"
PBU- T&D- Electrical- Power System Study,Tata Consulting Engineers,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,"Experience in Power System Studies such as Load Flow, Short circuit and steady state, d...","Electrical power system, Petrochemical, System, Stability studies, Power system, T, System study, Electricals"
Engineer - Lean,Weir,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,Degree in Mechanical / Industrial engineering from reputed institute . .,"Lean, Lean manufacturing, Value stream mapping, Shop floor, Training, Engineering, Streams, Mapping"
Application Engineer - Hardware,Johnson Controls,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Experience in the field of Industrial Automation (PLC programming / DCS/ SCADA) will be...,"Assurance, SCADA, Application engineering, Management, Quality management, Materials, Simulation, HVAC"
PBU-Thermal- Mech- Piping Professional,Tata Consulting Engineers,4-12 Yrs,Not disclosed,Bangalore/Bengaluru,. Must be conversant with 3D software such as SP3D / E3DHands on experience in stress a...,"Architecture, Instrumentation, Instruments, Documents, Thermal, VMS, Procurement, Analysis"
Intern For Manufacturing Industry,Machfox India,0-3 Yrs,Not disclosed,"Faridabad, Haryana, Bangalore/ Bengaluru, Karnataka, Delhi / NCR",Participating in trade shows. Collaborating internally and externally as required Softw...,"Mechanical, Event management, Power point presentation, Excel, Management, Public speaking, Corporate Events, Excel Reporting"
Graduate Engineering Trainee (Aerospace),Avistrat Engineering (opc),0-1 Yrs,Not disclosed,Bangalore/Bengaluru,Avistrat is a talent partner for the fast-growing Indian aerospace industry. We support...,"Design, Mechanical Design, Aerospace Engineering, Aeronautical Engineering, Aeronautical, Engineering, Aerospace, Aerostructures"
Product Development Engineer,IRI Equipment India,0-1 Yrs,1.75-2 Lacs PA,"Bangalore/ Bengaluru, Karnataka(Malleshwaram +6)",Preferred candidate profile . Candidate with good knowledge of solid works and auto cad .,"Solid Works, Development, Solid, Mechanical design, Load, Design, Calculation, Mechanical"
Design Engineer,VSL India Pvt Ltd,2-7 Yrs,2-7 Lacs PA,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","Minimum experience of 2-10 years in structural and steel detailing Preferably, able to ...","Design, Steel Structures, Bridges, Bridge Design, Design engineering, Casting, Casting Design, Steel Fabrication"
Senior Civil Site Engineer,Rozzgar Hr Management,1-6 Yrs,Not disclosed,"Hybrid - Pune, Maharashtra, Bangalore/Bengaluru, Mumbai (All Areas)","Planning, designing, execution at site Adhere budget and material inventory, quality st...","Civil Engineering, Contractors, Site, Management, Construction, Construction management, Bending, Handling"
Electric Technician,Cloudare,1-3 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru","Someone who has good knowledge and understands house wiring, Electricity / Inverter Pow...","wiring, Troubleshooting, Installation, Electricals, House wiring, Devices, Device installation, Electric Device Installation"
Sr Engineer,Enercomp,3-6 Yrs,Not disclosed,"Pune, Ahmedabad, Bangalore/Bengaluru",Direct coordination with functional consultants for qualification and follow ups . High...,"Taxation, Management, Electronics, CRM, SR, Healthcare, Outbound, Sales"
Engineer ( GIS ),Enercomp,1-4 Yrs,Not disclosed,"Pune, Ahmedabad, Bangalore/Bengaluru",Direct coordination with functional consultants for qualification and follow ups . High...,"Healthcare, Engineering, Outbound, GI, GIS, Electronics, CRM, Project"
Production Manager - FMCG / Foods - IIT / NIT / BITS,OPTIONS INDIA GROUP,1-6 Yrs,Not disclosed,"Haridwar, Kolkata, Patna, Pune, Bangalore/Bengaluru","Meeting daily, weekly and monthly volume requirement, . - Achieving plant performance m...","Production Management, Maintenance management, Maintenance, GMP, Production, HACCP, Management, 5S"
Assistant Manager - Production/Manufacturing - FMCG - IIT / NIT / BITS,OPTIONS INDIA GROUP,1-3 Yrs,Not disclosed,"Guwahati, Haridwar, Kolkata, Roorkee, Patna, Pune, Baddi, Bangalore/Bengaluru","- Experience in ISO 14001 & OHSAS - 18001, etc will be preferred. . Educational Qualifi...","Production, Maintenance, Management, Planning, Assistance, Manufacturing, Production management, Production planning"
Project In Charge,Cloudare,3-5 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru","Should know the new / existing home power supply (single phase / multiphase, Invertor, ...","AutoCad, Team management, Site inspection, Management, Inspection, Site, Dialux, Monitoring"
Civil Site Engineer,Rozzgar Hr Management,1-2 Yrs,2-2.75 Lacs PA,"New Delhi, Delhi, Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka","Managing Civil construction projects, supervising labor teams, generating measurement s...","Civil Engineering, Civil Engineer Construction, Construction, Site, Civil Site Engineering, Bar bending schedule, Bar, Bending"
Application Engineer For VMC and EDM,Fanuc,3-7 Yrs,Not disclosed,"Pune, Maharashtra, Chennai, Tamil Nadu, Bangalore/Bengaluru",Diploma / BE/ B Tech in Mechanical / Tool & Die making engineering streamsPreferred can...,"Installation And Commissioning, CNC Programming, Machine Shop, Application Engineering, VMC Programming, Compensation, Program, EDM"
Hiring RAC Supervisor To Work in Bahrain,Capital Recruitment Services,5-10 Yrs,10-15 Lacs PA,"Kolkata, Bhopal, Madhya Pradesh, Bahrain, Hyderabad/Secunderabad, Lucknow, Uttar Pradesh, Ahmedabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",experience in technically leading the team to resolving customer service complaints.Cap...,"RAC SUPERVISOR, Samsung Ims, RAC, Lg, SAMSUNG, Air conditioning, IMS, Hiring"
Head - Production - Automotive Manufacturing,BELHEM INDIA PRIVATE LIMITED,10-15 Yrs,Not disclosed,Bangalore/Bengaluru,Require candidates only from MANUFACTURING Experience,"Production Head, Production Management, Production Planning, Manufacturing, Heading, Production, Planning, Control"
Project Site Engineer,Talent Growth,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Site engineer for the assigned project / s to ensure project execution as per required ...,"wastewater analysis, Site Engineer, wastewater treatment, Waste water, Site, Site engineering, Project engineering, Waste water treatment"
Executive - (Packing) Production (Sterile) - Steriscience,Arcolab,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,Company: Steriscience Specialties Private LimitedQualification: BSc/MSc/B Pharm/M. Phar...,"Artwork, Sterile, Visual inspection process, Packaging Supervisor, Liquid, Cartons, Labels, Injectables"
Assistant Manager - Restaurant Maintenance,BELHEM INDIA PRIVATE LIMITED,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,- Requirement is for a leading chain of restaurants having multiple brand of restaurant...,"Plumbing, Hotel Maintenance, Maintenance Services, Equipment Maintenance, Management, Chillers, Air conditioning, MS Office"
Maintenance Supervisor,BELHEM INDIA PRIVATE LIMITED,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,- Requirement is for a leading chain of restaurants having multiple brand of restaurant...,"Maintenance Services, Equipment Maintenance, EPC, Electrical Troubleshooting, Reporting, Maintenance, Report preparation, Chillers"
Production Engineer Mechanical,Reflections Interior Products,2-4 Yrs,3.5-4.5 Lacs PA,Bangalore/Bengaluru(Whitefield +1),Must be familiar with all the processes of welding Should have knowledge of interpretin...,"shop floor, Welding, fabrication, Production, Manufacturing, Metal, Metal Fabrication, Handling"
Commercial Property Manager For Reputed Builders - Whitefield,OASIS,12-22 Yrs,10-18 Lacs PA,Bangalore/Bengaluru,This will include the preparation of past due. statements and correspondence with delin...,"electrical, mechanical, Commercial, civil, Property, Inspection, Site, Operations"
Production Supervisor,Layam,2-7 Yrs,Not disclosed,"Mysore/ Mysuru, Karnataka, Bangalore Rural, Karnataka, Bangalore/ Bengaluru, Karnataka, Ramanagara, Karnataka",Experience in Production and quality department,"Kannada, Languages, Daily production, Production, Supervision, English language, Production supervising, English"
Senior Engineer - Special Process (Chemical Process),Ideal Placement And Consultants (p) Ltd.,4-7 Yrs,5-6 Lacs PA,"Devanahalli, Karnataka, Bangalore/Bengaluru(Devanahalli)",Experience: 4 to 6 Years of relevant job experience Location: Devanahalli - Bangalore ....,"Etching, Special Chemical process, Anodising processes, Electroplating process, Chemical conversion coating, Chemical Processing, Process, Process engineering"
Senior Mechanical Design Engineer,Neumatica Technologies pvt ltd,8-13 Yrs,7-12 Lacs PA,Bangalore/Bengaluru,Job Role: Role & responsibilities Manage talented team of mechanical design engineers t...,"Special Purpose Machine Design, Conveyors, Pneumatics, Design calculations, Value engineering, Building, Design Calculation, Concept design"
Job Opening - AM / Manager - Manufacturing Engineering,Gionik Human Capital Solutions,7-12 Yrs,15-30 Lacs PA,Bangalore/Bengaluru,Coordinate with vendor and technology provider to ensure planning of vendor manpower fo...,"Manufacturing Engineering, Battery, manufacturing, Assembly, Ams, Auto Ancillary, Manufacturing operations, Line"
Field Service Engineer,Softworks Consultancy Services,1-2 Yrs,2-3 Lacs PA,Bangalore/Bengaluru,Minimum of a Diploma in Electrical and Electronics or similar field and minimum of 1 ye...,"Field Service, Service engineering, Field Engineering, Electrical Equipment, Control, Ventilation, Field, Field work"
MED Manager,Nidec,8-10 Yrs,10-12 Lacs PA,Bangalore/Bengaluru,Perks and benefits . * Salary is not a constraint for the right candidate. * We work 05...,"Alternators, MED, Motors, Alternator, Management, Preferred from experience in making of Alternators or Motors Industry"
Design Engineer,VMix Mineral Technologies Pvt. Ltd.,2-5 Yrs,3-6.5 Lacs PA,"Bangalore/ Bengaluru, Karnataka",Preferred candidate profile Candidates must have good knowledge & experience of AutoCAD...,"3D Modeling, Autodesk, AutoCAD 2D, Design engineering, Design, AutoCAD, Autodesk Inventor, 3D Model"
Electrical Design Engineer,Sobha Projects and Trade,3-8 Yrs,2-7 Lacs PA,Bangalore/Bengaluru(Bellandur),Preferred candidate profile . * Electrical Design Engineer with 2 to 15 years of experi...,"AutoCAD, design engineering, Boq, Estimation engineering, Microsoft, Electricals, Office, Estimation"
Officer - Maintenance,Hikal,3-6 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka(Jigani)","Should be having knowledge on Guidelines like cGMP, ISPE, USFDA, ASME and ISO etcRespon...","Breakdown Maintenance, preventive maintenance, Breakdown, Engineering, HVAC system, Air conditioning, Maintenance engineering, Preventive"
Production Supervisor,Shashwath Solution,1-3 Yrs,Not disclosed,Remote,Job Responsibilities 1. Support the Production Manager in Planning of jobs in all the m...,"Production supervision, Management, Production planning, Production management, Production, Data, Machine, Planning"
IWE Welding engineer,Nvent,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Welding feasibility study during each project and process development as requiredWell v...,"Welding, Inspection, Engineering, Quality management, Fabrication, Piping, Management, Welding engineering"
Maintenance Executive - Electrical,Emploi Consultancy,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Handle complex clerical, administrative, technical or customer support issues under min...","Electrical Maintenance, Maintenance, Electricals, Quality, Customer support, quality maintenance"
General Maintenance Technician,Swissotel,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,Employee benefit card offering discounted rates in Accor worldwide for you and your fam...,"Inspection, Development, Electricals, Maintenance management, Silicon, Fire alarm system, General Maintenance, Management"
Senior Engineer - Rail Structures,Arcadis Consulting India Pvt. Ltd,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,"The role will be predominantly technical, and the individual will be expected to have a...","Microsoft, Consulting, Analysis, Software design, Software, German, Office, Staad"
Senior Associate Manager- Production,Raytheon Technologies,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Accountability of Tier-1 and Tier-2 per standard of SPQDCM, which includes of Safety co...","Flooring, Plant, Plant engineering, Shop floor, Cost, Scheduling, Process improvement, Engineering"
Senior Associate Engineer - Production,Raytheon Technologies,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,Should be able to Lead Installation new product line / improvement in existing line . E...,"Cost reduction, Lean, Cost, Fabrication, Six, SQA, Production planning, Process improvement"
Senior Associate Engineer - Manufacturing,Raytheon Technologies,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,1. Provide Engineering support for a range of products through all phases of product tr...,"Technical, TQM, TPM, Lean manufacturing, Automation, Waste management, Ergonomics, Root cause analysis"
Deputy Manager - Manufacturing,Raytheon Technologies,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,This position is accountable for providing both technical and Industrial Engineering/pr...,"Capacity planning, TPM, Costing, Product costing, Supply chain, Process, Capacity, Procurement"
Deputy Manager - Manufacturing,Raytheon Technologies,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,Prepare all relevant manufacturing documents for New or Proto qualification products . ...,"New product introduction, Flooring, Kaizen, Development, Six sigma, Process design, Six, Project"
Associate Store Planner,Lowes Services India Private limited,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,Knowledge of existing store formats should also include identifications of significant ...,"Sales, Architecture, Microstation, Customer experience, Merchandising, Prototype, Design, Stores"
Senior Cost Manager - Civil,Turner & Townsend,7-13 Yrs,Not disclosed,Bangalore/Bengaluru,"To support the role of Commission Manager, taking responsibility for effectively delive...","Civil management, Procurement, SCM, CVS, Data, Senior, Consulting, Accounting"
Senior Cost Manager - Civil,Turner & Townsend,7-13 Yrs,Not disclosed,Bangalore/Bengaluru,Qualifications . B E Civil . To perform tasks relevant to Commercial Management require...,"Reconciliation, CVS, Delivery, Data, Consulting, Senior, Media, Project delivery"
Cost Manager MEP,Turner & Townsend,7-12 Yrs,Not disclosed,Bangalore/Bengaluru,To perform tasks relevant to Commercial Management requirement and support PMO in overa...,"Microsoft, Management, Property, Social media, Delivery, Data, Property management, Project"
Cost Manager Civil,Turner & Townsend,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Experience in Data Centre. .,"Final accounts, Data collection, Accounting, Management, Data, CVS, Recruitment, Procurement"
OFFICIER,Multiplier Brand Solutions,1-2 Yrs,Not disclosed,Bangalore/Bengaluru,"Managing, training, and providing overall guidance to the sales team of an assigned ter...","Brand awareness, Senior, Monitoring, Awareness, Training management, Brand, Branding, Sales"
Design Engineer,LTT SYSTEMS PRIVATE LIMITED,7-12 Yrs,Not disclosed,Bangalore/Bengaluru,. Qualification : Bachelors or Masters specialization in Mechanical / Mechatronics Engi...,"Quality management, Mechatronics, Fabrication, Quality control management, Injection, Prototype, Wireless, Design"
We are Hiring For Electrical Engineers,Rapid Global Business Solutions India Pvt.ltd.,5-8 Yrs,Not disclosed,"Bangalore Rural, Karnataka",Bachelors degree in Electrical Engineering or Mechanical EngineeringThe ideal candidate...,"electronic product design, Mechanical Drawings, Bom Preparation, Electrical Schematic drawings, Autodesk Inventor, Electrical design, IPC, Autodesk"
Aerospace Industry as a Stress Engine - MNC(C2H) - Mysore,Tekishub Consulting Services,3-8 Yrs,2-6.5 Lacs PA,"Hybrid - Mysore/ Mysuru, Karnataka, Bangalore/Bengaluru",Bachelors degree in Mechanical or Aerospace engineeringCandidate should have experience...,"fatigue, Aerospace, aircraft structures, damage tolerance, Stress Engineer, Analysis, Tolerance Analysis, Tolerance"
Electrical Technician,Intertek,2-4 Yrs,Not disclosed,Bangalore/Bengaluru(Yeshwanthpur),Please find the JDTaking care of lab activities Support to the Engineer for preparing t...,"electricals, electrical maintenance, Maintenance, Equipment"
Site Supervisor,Shilpa Siri,1-4 Yrs,Not disclosed,Remote,"Should have 2-3 years of experience in Facade & Glazing, Structural Glazing, ACP Claddi...","facade, Site, Doors, Glass, Aluminium, Glazing, Cladding, Site supervision"
Hexagon GCS- PLS CADD Specialist,Hexagon Geosystems Services India,5-10 Yrs,Not disclosed,"Gurgaon/ Gurugram, Haryana, Bangalore/Bengaluru","Must work well with others, be team oriented, helpful and a good problem solver. Diplom...","Pls Cadd, GC, Gen, Pls, Cadd, Transmission, Line, Transmission line"
Site Engineer,Placement Partners,2-4 Yrs,3.25-4 Lacs PA,"Bangalore/ Bengaluru, Karnataka",Basic understanding of waterproofing methods used in construction site(Preferred),"site execution, Civil Engineering, construction site, site engineering, waterproofing, Engineering, Building, Site"
"NPD (New Product Development), Purchase BOP and costing from Sheet Met",NASH group,1-6 Yrs,Not disclosed,Bangalore/Bengaluru(Bande Bommasandra +1),Qualification: Diploma / BE / B.tech - Mechanical Should Know How. New Product Developm...,"BOM, BOP, NPD, new product development, product development, Cost, New product, Estimation"
Hiring For 3D routing-CREO,Rapid Global Business Solutions India Pvt.ltd.,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Experience in OEM Component selection (cables, connectors, back shells etcExperience wi...","creo, Harness, Bom preparation, Engineering, Routing, NX, Design engineering, Design"
Qs & Billing Engineer,A N Prakash Construction Project Management Consul Tants,3-8 Yrs,3-5 Lacs PA,Remote,Role & responsibilities Preferred candidate profile Perks and benefits,"costx, Billing, Bar, AutoCAD, Bar bending schedule, Billing engineering, Bending, QS"
Field Testing Engineer,Senvion,4-8 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",Role & responsibilities . Plan & Perform Certification Measurements on wind turbinesRev...,"Field Testing, Grid, Field, Power Quality, Turbines, Wind, Coding, Software testing"
Persian Rug Production Expert,Stay Positive It,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Minimum of 5 years experience in Persian rug manufacturing, with an emphasis on the use...","persian rugs, English, Weaving, Textile, Production planning, Persian, Methods, Factory management"
Lead Sculpture Production Specialist and Artisan Master Sculptor,Stay Positive It,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,This individual will not only be a master artisan but will also possess a comprehensive...,"handmade statues, Production, Sculpture, Indian, English, Production planning, Methods, Sculpting"
Production Planning Certification - Electronics,Astrome Technologies,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,Active involvement in maintaining inventory . Research about certification requirements...,"Electronics, Material procurement, Planning, Cost, Certified, Health insurance, Electronic components, Production planning"
Assistant Manager Manufacturing Engineering,Raytheon Technologies,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Industrial Engineering Tools for Process design and Lean Tools Plant Layout / New proce...,"Excellence, Production support, Manufacturing, Production, Operations, Engineering, Assistance, Design"
Sr Instrumentation and Control Engineer,Zealogics.com,8-12 Yrs,Not disclosed,Bangalore/Bengaluru,Professionals with Diploma or Bachelors in Engineering and a minimum of 8 - 12 years of...,"Layout, Instruments, SPR, MS Office, Petrochemical, Instrumentation, Control Engineering, Instrumentation Control"
Jr Instrumentation and control Engineer,Zealogics.com,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,Professionals with Diploma or Bachelors in Engineering and a minimum of 3-5 years of re...,"Layout, Instruments, SPR, MS Office, Petrochemical, Instrumentation, Control Engineering, Instrumentation Control"
Associate Manager - DDR&D,Eli Lilly And Company,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Ensures individual and departmental compliance with the laws, regulations, guidelines, ...","Regulatory, Medical, Scientific writing, Management, Compliance, Interpersonal, Interpersonal skills, Pharmaceutical"
Officer,Esaf Small Finance Bank,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,Profile Graduation (regular) or PG in any discipline with 2+ years of Experience in the...,"Finance, Analytics, Analytical, Loans"
Engineer / Sr . Engineer IMS,Kaseya,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,The candidate must have good verbal and written communication skills. Must be willing t...,"Security, Troubleshooting, Management, Microsoft Windows, SR, Private equity, Infrastructure, Customer interaction"
Manager - CAE,Tecosim Engineering Services,15-20 Yrs,Not disclosed,Bangalore/Bengaluru,"JOB SUMMARY . Technical Manager with 15 years of experience in design & development, va...","cae, Analysis, Dyna, LS-DYNA, Engineering, Meshing, Project engineering, Project"
Electrical Design Engineer,Ohmium,3-8 Yrs,Not disclosed,"Chikkaballapura, Karnataka, Bangalore/ Bengaluru, Karnataka",Position : Engineer - Electrical Design Location : Bangalore - ChikkaballapurJob descri...,"Switchgear, Transformer Sizing, Electrical engineering, Design engineering, Electricals, Sizing, Transformers, Transformer Design"
Head - PPC & Store,SV Management Consultants,10-15 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka","Qualifications and Skills: . Bachelors in Mechanical Engineering, Industrial Engineerin...","PPC, Inventory Management, Lean Manufacturing, Sheet Metal, Store Management, Six, System, Inventory"
Senior Engineer - HV Plant & Cable (Connection Engineer),WSP,8-12 Yrs,Not disclosed,Bangalore/Bengaluru,"Coordinate with team members and monitor project schedules, ensuring submissions meet h...","Technical, Uk, Team building, Distribution, Writing, Senior, Plant, Cabling"
Manager - Fixture Maintenance,SV Management Consultants,8-12 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka","Qualifications and Skills: . Bachelors in Mechanical Engineering, Industrial Engineerin...","Metal Fabrication, Fixtures, Sheet Metal, Maintenance, Lean Manufacturing, Development, Fix, Fabrication"
Vmc Machine Operator,Zentark Industries,2-7 Yrs,2-2.25 Lacs PA,Bangalore/Bengaluru,Role & responsibilities CNC TURNING/VMC MILLING Operators : person should work with int...,"vmc machine, Vmc Operating, VMC programming, CNC, Program, Machine, Programming, VMC"
Vmc Programmer,Zentark Industries,3-8 Yrs,2.5-3 Lacs PA,Bangalore/Bengaluru,Role & responsibilities CNC TURNING/VMC machine programmer : person should work with in...,"Tool Selection, VMC Programming, cnc programming, Programming, Fanuc, Setting, Control, Machine shop"
"Immediately VMC/CNC operators, Bangalore, Peenya",Ducom Aerospace Technologies Private Ltd,3-4 Yrs,2.25-2.5 Lacs PA,Bangalore/Bengaluru,"Higher Secondary, Secondary School, Vocational Course, Diploma, Advanced / Higher Diplo...","cnc operation, mechanical drawings, vmc machine, Drawing, CNC, Machine, VMC, Operating"
Biomedical Engineer,Ozanera,1-5 Yrs,Not disclosed,Bangalore/Bengaluru,Preferred candidate profile . .,"Biomedical Engineering, Biomedical Service Engineer, Biomedical Engineer, Medical Equipment, Biomedical, Preventive maintenance, Preventive, Machine"
Manager - Automation,Krones India Private Limited,12-15 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka(Basavangudi)",Pre-documentation preparation for phase / recipe developments for BATCH systemShould ha...,"Profibus, Modbus, Automation, Management"
Senior CAD Technician - Mechanical,WSP,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Responsibilities To contribute for Mechanical Infrastructure projects, such as sewer an...","Vault, Labels, Design Concepts, Navisworks, Plant, Bim, Australia, Construction"
Operation Manager,Fluiconnecto India,8-10 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",. Must have plant layout design experience Preferred SAP experiencePreferred candidate ...,"operations management, Layout, Management, Control, Plant, Plant layout, Operations, Plant administration"
Plant Manager,Browndove Healthcare Private Limited.,20-30 Yrs,Not disclosed,Harohalli Bangalore,"Should have the ability to track and monitor tasks, continuously evaluate and implement...","Production Management, Quality Management, Productivity Improvement, Lean Manufacturing, Regulatory Compliance, Manpower, Safety management, Development"
Dynamo/Revit Modeller,Hocon Technologies India,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Role & responsibilities . Proficient in automation using Autodesk DynamoPreferred candi...,"Dynamo, Modeler, REVIT, REVIT architecture, Modeling, Bim, Architecture"
